cruise,datetime,latitude,longitude,depth_m,Orgpicopro_cells_per_ml,Redpicoeuk_cells_per_ml,volume_analyzed_ml,filename
EN668,2021-07-16T15:51:41+00:00,41.2828,-71.2534,5,90482.5,55485,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(1).fcs
EN668,2021-07-16T15:54:02+00:00,41.2812,-71.2465,5,92707.5,56190,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(2).fcs
EN668,2021-07-16T15:56:23+00:00,41.2797,-71.2396,5,88132.5,55885,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(3).fcs
EN668,2021-07-16T15:58:44+00:00,41.2773,-71.2291,5,87105,55725,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(4).fcs
EN668,2021-07-16T16:01:06+00:00,41.2757,-71.2221,5,86290,54460,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(5).fcs
EN668,2021-07-16T16:03:27+00:00,41.2741,-71.2151,5,87425,55165,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(6).fcs
EN668,2021-07-16T16:05:48+00:00,41.2717,-71.2046,5,88410,56842.5,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(7).fcs
EN668,2021-07-16T16:08:09+00:00,41.2701,-71.1976,5,92422.5,57610,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(8).fcs
EN668,2021-07-16T16:10:31+00:00,41.2678,-71.1871,5,98647.5,56702.5,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(9).fcs
EN668,2021-07-16T16:12:53+00:00,41.2663,-71.18,5,105552.5,59610,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(10).fcs
EN668,2021-07-16T16:15:13+00:00,41.2648,-71.1728,5,111900,67352.5,0.4,NESLTER_EN668_16Jul2021a(1)_Group_day0_Sample(11).fcs
EN668,2021-07-16T16:35:51+00:00,41.249,-71.0974,5,103892.5,57000,0.4,NESLTER_EN668_16Jul2021a(2)_Group_day0_Sample(1).fcs
EN668,2021-07-16T16:48:46+00:00,41.2392,-71.05,5,93215,41435,0.4,NESLTER_EN668_16Jul2021a(3)_Group_day0_Sample(1).fcs
EN668,2021-07-16T16:51:07+00:00,41.2376,-71.0426,5,94122.5,42522.5,0.4,NESLTER_EN668_16Jul2021a(3)_Group_day0_Sample(2).fcs
EN668,2021-07-16T16:53:28+00:00,41.2361,-71.0352,5,95092.5,41522.5,0.4,NESLTER_EN668_16Jul2021a(3)_Group_day0_Sample(3).fcs
EN668,2021-07-16T16:57:33+00:00,41.2323,-71.0165,5,92232.5,44242.5,0.4,NESLTER_EN668_16Jul2021a(4)_Group_day0_Sample(1).fcs
EN668,2021-07-16T16:59:53+00:00,41.2307,-71.0092,5,78695,47717.5,0.4,NESLTER_EN668_16Jul2021a(4)_Group_day0_Sample(2).fcs
EN668,2021-07-16T17:02:15+00:00,41.2293,-71.0017,5,72755,48450,0.4,NESLTER_EN668_16Jul2021a(4)_Group_day0_Sample(3).fcs
EN668,2021-07-16T17:04:36+00:00,41.2271,-70.9907,5,72875,49670,0.4,NESLTER_EN668_16Jul2021a(4)_Group_day0_Sample(4).fcs
EN668,2021-07-16T17:06:58+00:00,41.2257,-70.9835,5,74197.5,50752.5,0.4,NESLTER_EN668_16Jul2021a(4)_Group_day0_Sample(5).fcs
EN668,2021-07-16T17:09:19+00:00,41.2243,-70.9762,5,79167.5,52222.5,0.4,NESLTER_EN668_16Jul2021a(4)_Group_day0_Sample(6).fcs
EN668,2021-07-16T17:11:40+00:00,41.2222,-70.9654,5,96065,53025,0.4,NESLTER_EN668_16Jul2021a(4)_Group_day0_Sample(7).fcs
EN668,2021-07-16T17:19:02+00:00,41.217,-70.9402,5,111970,55422.5,0.4,NESLTER_EN668_16Jul2021a(5)_Group_day0_Sample(1).fcs
EN668,2021-07-16T17:23:14+00:00,41.2136,-70.9259,5,114012.5,57997.5,0.4,NESLTER_EN668_16Jul2021a(5)_Group_day0_Sample(2).fcs
EN668,2021-07-16T17:25:33+00:00,41.2104,-70.9155,5,97860,56640,0.4,NESLTER_EN668_16Jul2021a(5)_Group_day0_Sample(3).fcs
EN668,2021-07-16T17:28:04+00:00,41.2081,-70.9087,5,90120,54885,0.4,NESLTER_EN668_16Jul2021a(5)_Group_day0_Sample(4).fcs
EN668,2021-07-16T17:33:36+00:00,41.2022,-70.8877,5,84872.5,48097.5,0.4,NESLTER_EN668_16Jul2021a(5)_Group_day0_Sample(5).fcs
EN668,2021-07-16T17:38:34+00:00,41.2034,-70.8787,5,76610,39887.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(1).fcs
EN668,2021-07-16T17:40:55+00:00,41.2035,-70.8804,5,75747.5,41305,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(2).fcs
EN668,2021-07-16T17:43:17+00:00,41.2025,-70.8818,5,76855,42245,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(3).fcs
EN668,2021-07-16T17:45:38+00:00,41.2012,-70.8842,5,79765,43150,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(4).fcs
EN668,2021-07-16T17:47:59+00:00,41.2,-70.8847,5,85950,43332.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(5).fcs
EN668,2021-07-16T17:50:21+00:00,41.1987,-70.8853,5,87140,43902.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(6).fcs
EN668,2021-07-16T17:52:42+00:00,41.1976,-70.886,5,88862.5,44520,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(7).fcs
EN668,2021-07-16T17:55:03+00:00,41.1972,-70.886,5,88530,46050,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(8).fcs
EN668,2021-07-16T17:57:24+00:00,41.1971,-70.886,5,89747.5,45847.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(9).fcs
EN668,2021-07-16T17:59:46+00:00,41.1969,-70.8858,5,89062.5,46042.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(10).fcs
EN668,2021-07-16T18:02:07+00:00,41.1968,-70.8856,5,89660,46307.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(11).fcs
EN668,2021-07-16T18:04:29+00:00,41.1967,-70.8855,5,89805,46490,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(12).fcs
EN668,2021-07-16T18:06:50+00:00,41.1965,-70.8852,5,90217.5,46777.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(13).fcs
EN668,2021-07-16T18:09:11+00:00,41.1965,-70.885,5,90192.5,46207.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(14).fcs
EN668,2021-07-16T18:11:33+00:00,41.1963,-70.8845,5,90325,46747.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(15).fcs
EN668,2021-07-16T18:13:54+00:00,41.196,-70.8842,5,88952.5,45955,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(16).fcs
EN668,2021-07-16T18:16:16+00:00,41.1957,-70.884,5,89325,46905,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(17).fcs
EN668,2021-07-16T18:18:37+00:00,41.1952,-70.8836,5,89160,45762.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(18).fcs
EN668,2021-07-16T18:20:59+00:00,41.1949,-70.8833,5,89907.5,46452.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(19).fcs
EN668,2021-07-16T18:23:19+00:00,41.1945,-70.883,5,88857.5,46117.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(20).fcs
EN668,2021-07-16T18:25:41+00:00,41.194,-70.8826,5,89712.5,46390,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(21).fcs
EN668,2021-07-16T18:28:02+00:00,41.1937,-70.8822,5,89870,46415,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(22).fcs
EN668,2021-07-16T18:30:24+00:00,41.1934,-70.8818,5,89155,45820,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(23).fcs
EN668,2021-07-16T18:32:45+00:00,41.1929,-70.8815,5,88915,45790,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(24).fcs
EN668,2021-07-16T18:35:07+00:00,41.1926,-70.8812,5,88517.5,46625,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(25).fcs
EN668,2021-07-16T18:37:28+00:00,41.1923,-70.8808,5,88352.5,46392.5,0.4,NESLTER_EN668_16Jul2021a(6)_Group_day0_Sample(26).fcs
